[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣無法大罷工，因人民愚昧自私-[Author]enel1111 (私法制裁者)[Date]Mon Jul  6 22-07-12.txt[reson]time data u'Mon Jul  6 22:07:12' does not match format '%a %b %d %H:%M:%S %Y'
[update lost]E:\ptt_all_data\01.ptt_old\PTT\[Title]Re- [問卦] 台灣的低薪現象還有得救嗎-[Author]freeunixer (離自相空她相)[Date]Mon Jul  6 00-18-10 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 怎麼一畢業就當訓導主任[Author]Charlie5566 (白石(⊙)(⊙)❺❺❻❻)[Date]Wed Jun 24 12-51-54 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 愛住天龍國又愛嫌？[Author]YU0121 (愛玉冰™)[Date]Mon Apr 27 00-36-01 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 84: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 憲哥白回來的八卦-[Author]B0988698088 (廢文少女小円♥)[Date]Thu Apr 23 16-39-23 2015.txt[reson]'cp950' codec can't encode character u'\u5186' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 我家附近的T很正  該怎麽降伏成為訓T[Author]keither1009 (kkk)[Date]Sat Apr 18 15-44-43 2015.txt[reson]'cp950' codec can't encode character u'\u9ebd' in position 68: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 房子蓋一蓋變成民宿？[Author]ceca (生活藝術大師￼  ￼N￼)[Date]Sat Jul 11 02-43-47 2015.txt[reson]'cp950' codec can't encode character u'\ufffc' in position 86: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 托福7000單字在美國用到的機率[Author]freeunixer (離自相空她相)[Date]Mon Apr 20 21-38-19 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 搭機旁邊做了一個689的三寶該如何處置-[Author]mindming ( )[Date]Thu Jun 25 21-56-20 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 數學學霸快來瞧瞧啊！[Author]cchou5566 (嘻嘻好❺❺❻❻)[Date]Sat Apr 25 18-00-22 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 88: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 新莊國中和新泰國中 打架誰會贏？？[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Tue Apr 28 00-52-42 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 104: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 日本也迷歐美學歷嗎 -[Author]sixpoint (　ﾟдﾟ)ノ☆( #)д`)[Date]Sun Jul 12 04-21-36 2015.txt[reson]'cp950' codec can't encode character u'\uff9f' in position 86: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 日本經濟最好的時候是怎麼的情況-[Author]sundaybaron (￼ ￼ ￼N￼N￾ ￾N￾ﳿﰩ[Date]Thu Jun 25 19-22-56 2015.txt[reson]'cp950' codec can't encode character u'\ufffc' in position 93: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 日本警視總監有多大[Author]anecam (命どぅ宝)[Date]Sat Apr 18 18-11-46 2015.txt[reson]'cp950' codec can't encode character u'\u5b9d' in position 84: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 最合理的運動漫畫-[Author]playskinpo (統一獅王重返榮耀 ￾N￼N)[Date]Sun Jun 28 23-54-32 2015.txt[reson]'cp950' codec can't encode character u'\ufffe' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 最會發廢文的ID 一定有誰-[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Wed Jun 24 16-35-53 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 101: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 會想跟av女優交往嗎？[Author]ImNot5566 (❺❺❻❻)[Date]Fri Apr 24 11-58-24 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 86: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 會發妹妹文的都是怎麼樣的人？[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Fri Apr 17 21-27-07 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 101: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有人說玩咖自己不知科普知識活該-[Author]maime55 (退出黃線之外)[Date]Mon Jun 29 13-09-21 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有什麽歌能立刻把ktv氣氛變冷呢？[Author]OPOPPOP (木蘭香遮不住傷)[Date]Sat Apr 25 13-43-57 2015.txt[reson]'cp950' codec can't encode character u'\u9ebd' in position 58: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有初來乍到貶低台裔的八卦嗎[Author]Fitzwilliam (Out of touch)[Date]Fri Apr 24 12-40-01 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有 施旖婕／綜合外電報導 的八卦-[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Fri Apr 17 16-07-43 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有 最後の嘘 的八卦？[Author]DCHC (純愛基本教義派♥)[Date]Sat Jun 27 19-05-44 2015.txt[reson]'cp950' codec can't encode character u'\u5618' in position 63: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有 突然安靜三秒 的八卦[Author]hunderdam (￼ ￼ ￼N)[Date]Wed Apr 22 18-14-42 2015.txt[reson]'cp950' codec can't encode character u'\ufffc' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有4月20日的八卦-[Author]MadeInChina (中國製造™)[Date]Mon Apr 20 20-21-35 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 93: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有921多恐怖的八卦[Author]ImNot5566 (❺❺❻❻)[Date]Mon Apr 20 16-32-46 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 87: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有921多恐怖的八卦[Author]KamijoToma (上条当麻)[Date]Mon Apr 20 12-29-02 2015.txt[reson]'cp950' codec can't encode character u'\u6761' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有iphone發文的簽名檔是啥的八卦[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Thu Apr 23 21-28-30 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 107: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有PChome變成購物網站的八卦？[Author]Deltaguita (貝纳頌)[Date]Mon Apr 20 19-16-48 2015.txt[reson]'cp950' codec can't encode character u'\u7eb3' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有三溫暖的八卦[Author]YU0121 (愛玉冰™)[Date]Sun Apr 19 21-59-32 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 84: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有假日大家就沒時間發文的八卦？[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Sun Apr 19 21-12-15 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 104: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有八卦板沒有正妹的八卦[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Wed Apr 29 01-58-52 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 100: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有八嘎囧都聽什麼歌的八卦[Author]sg8888sgsg (゜ω゜)っ✂╰ひ╯)[Date]Sat Apr 25 15-51-43 2015.txt[reson]'cp950' codec can't encode character u'\u309c' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有其實很難領到22k的八卦-[Author]YU0121 (愛玉冰™)[Date]Sat Apr 25 23-02-59 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有動作片神作「絕地任務」的八卦？[Author]victoryss (☞ ☑中间选民 ☑爱歹玩)[Date]Thu Apr 30 13-16-05 2015.txt[reson]'cp950' codec can't encode character u'\u261e' in position 93: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有去台北必吃的十大美食-[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Sun Apr 26 02-27-55 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 92: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有台灣一堆高學歷 為何比不贏亞洲-[Author]zhtw (爲智畏謀)[Date]Mon Jul 13 16-42-39 2015.txt[reson]'cp950' codec can't encode character u'\u7232' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有台灣地名重複率很高的八卦？[Author]cchou5566 (嘻嘻好❺❺❻❻)[Date]Fri Apr 17 15-05-50 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有和信醫院der八卦-[Author]YU0121 (愛玉冰™)[Date]Tue Jun 30 00-31-16 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 88: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有大學交不到女友很困難的八卦[Author]FrankLP (潮騒のメモリー )[Date]Wed Apr 22 21-36-11 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有大家真的覺得泛舟哥很有趣的八卦-[Author]YU0121 (愛玉冰™)[Date]Sat Jul 11 11-36-32 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有大家騎機車買麥當勞都不知放哪的掛[Author]cchou5566 (嘻嘻好❺❺❻❻)[Date]Tue Apr 28 15-54-15 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有好聽的純音樂-[Author]belleaya (台中李奧納多皮卡堺雅人)[Date]Wed Apr 22 04-54-37 2015.txt[reson]'cp950' codec can't encode character u'\u583a' in position 92: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有少年吔，安啦！的卦-[Author]yduiy (奶茶)[Date]Mon Apr 27 02-39-52 2015.txt[reson]'cp950' codec can't encode character u'\u5414' in position 61: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有德國三溫暖的八卦[Author]microsot (吉    ￾               )[Date]Mon Apr 20 17-14-06 2015.txt[reson]'cp950' codec can't encode character u'\ufffe' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有憑什麼-教職-的待遇特別好的八卦--[Author]izna (進攻北極)[Date]Sat Jul 11 20-43-00 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有抵制mo ptt不痛不癢的八卦[Author]JoeGibsonJr (喬・吉普森・二世)[Date]Fri Jun 26 09-59-04 2015.txt[reson]'cp950' codec can't encode character u'\u30fb' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有日本人對北捷代幣讚嘆的八卦？[Author]taotzu (╮(╯▽╰)╭   ｷﾀ━━)[Date]Sat Jun 27 16-15-40 2015.txt[reson]'cp950' codec can't encode character u'\uff77' in position 99: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有日語檢定N1跟N2落差很大的八卦-[Author]FrankLP (潮騒のメモリー )[Date]Sun Jul 12 13-34-48 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有普大校園生活比科大還青春的掛[Author]chenxfu (やめて!やめて!あ♥は~ん)[Date]Wed Apr 22 11-50-17 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 99: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有月薪3萬還要吃魚喝茶的八卦[Author]ImNot5566 (❺❺❻❻)[Date]Wed Apr 29 15-17-37 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有林佳龍或柯P民調會掉的八卦-[Author]hk416 (✈✈洨魯 ☜(￣▽￣☜)[Date]Fri Apr 17 00-18-42 2015.txt[reson]'cp950' codec can't encode character u'\u2708' in position 88: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有永久水桶的八卦[Author]jeanvanjohn (尚市長)[Date]Sat Apr 18 08-17-31 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有現在剩女很多的八卦？[Author]foxybrown (☆邪惡娜娜★￾ ￾N)[Date]Tue Apr 28 02-50-58 2015.txt[reson]'cp950' codec can't encode character u'\ufffe' in position 94: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有現在剩女很多的八卦？[Author]YU0121 (愛玉冰™)[Date]Tue Apr 28 00-10-38 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 88: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有現在剩女很多的八卦？[Author]YU0121 (愛玉冰™)[Date]Tue Apr 28 01-19-24 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 88: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有現在手遊壽命都很短的八卦[Author]freeunixer (離自相空她相)[Date]Fri Jun 26 02-12-51 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有百大企業不調薪是正常的卦-[Author]FrankLP (潮騒のメモリー )[Date]Wed Apr 29 21-43-41 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有看了八仙影片現在失眠的八卦[Author]ANSON5566 (討噓達人)[Date]Sun Jun 28 03-19-54 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有眷村菜等於好吃的卦[Author]Charlie5566 (白石(⊙)(⊙)❺❺❻❻)[Date]Sun Apr 19 13-22-30 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 97: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有神椅herman miller的八卦-[Author]akira911 (ビギナー Beginner)[Date]Fri Apr 17 02-55-24 2015.txt[reson]'cp950' codec can't encode character u'\u30fc' in position 99: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有秦偉燒傷，跟張衛建有關的八卦？[Author]widec (☑30cm)[Date]Mon Jun 29 08-30-01 2015.txt[reson]'cp950' codec can't encode character u'\u2611' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有考研究所從文組跨到理組的八卦-[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Fri Apr 17 02-49-04 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 96: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有肛毛的八卦？[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Thu Jun 25 02-09-40 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 87: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有蓮舫在日本被噓爆的八卦？[Author]anecam (命どぅ宝)[Date]Fri Apr 24 11-00-10 2015.txt[reson]'cp950' codec can't encode character u'\u5b9d' in position 90: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有角頭的八卦-[Author]FrankLP (潮騒のメモリー )[Date]Sat Jul 11 23-24-21 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 83: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有說自己魯蛇還是要被飆的八卦-[Author]FrankLP (潮騒のメモリー )[Date]Sat Jun 27 22-00-41 2015.txt[reson]'cp950' codec can't encode character u'\u9a12' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有阿榮福利味的八卦-[Author]zhtw (爲智畏謀)[Date]Sun Jul 12 01-01-58 2015.txt[reson]'cp950' codec can't encode character u'\u7232' in position 82: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有電子學很難的八卦？o'_'o[Author]Charlie5566 (白石(⊙)(⊙)❺❺❻❻)[Date]Thu Jun 25 20-29-45 2015.txt[reson]'cp950' codec can't encode character u'\u277a' in position 102: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有電影太平輪的八卦.[Author]hk416 (✈✈洨魯 ☜(￣▽￣☜)[Date]Mon Apr 20 22-20-00 2015.txt[reson]'cp950' codec can't encode character u'\u2708' in position 83: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有電腦桌面放自己照片的八卦-[Author]AizawaYuuiti (相沢祐一)[Date]Mon Jun 29 17-56-12 2015.txt[reson]'cp950' codec can't encode character u'\u6ca2' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有霸菱銀行倒閉事件的八卦--[Author]freeunixer (離自相空她相)[Date]Thu Apr 23 11-25-57 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有髒話的八卦？[Author]kc5225790 (小鉄)[Date]Sat Jun 27 21-46-43 2015.txt[reson]'cp950' codec can't encode character u'\u9244' in position 85: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有沒有黨國栽培的八掛[Author]belleaya (台中李奧納多皮卡堺雅人)[Date]Tue Apr 28 13-57-37 2015.txt[reson]'cp950' codec can't encode character u'\u583a' in position 92: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有無五千塊顯示卡在GTA5面前像陀屎般.[Author]LupinArsene (鋼琴老濕)[Date]Mon Apr 27 02-18-15 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有無比網路實名制更重要的媒體實名制八掛[Author]belleaya (台中李奧納多皮卡堺雅人)[Date]Fri Apr 24 22-54-27 2015.txt[reson]'cp950' codec can't encode character u'\u583a' in position 101: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 有無王品很衰的卦----[Author]YU0121 (愛玉冰™)[Date]Sat Jul 11 14-51-21 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 87: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 朋友認為中華民國已經存在不需再獨立[Author]Aldebaran (一直走)[Date]Mon Apr 27 15-22-00 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 朋友認為中華民國已經存在不需再獨立[Author]Aldebaran (一直走)[Date]Tue Apr 28 11-12-39 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 期中考考題出自己名子是不是很可悲？[Author]chris7 (喉頭一甜（￣￢￣）)[Date]Mon Apr 20 02-24-31 2015.txt[reson]'cp950' codec can't encode character u'\uffe2' in position 95: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 東南亞民眾支持把辱駡李光耀的人抓去關？[Author]genheit (genheit)[Date]Sun Jul 12 22-20-45 2015.txt[reson]'cp950' codec can't encode character u'\u99e1' in position 65: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 板橋龍昌診所燙傷藥膏[Author]aye (溺死的美人魚￾N￼      )[Date]Sun Jun 28 21-27-23 2015.txt[reson]'cp950' codec can't encode character u'\ufffe' in position 85: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 核能騙局的八卦-[Author]DCHC (純愛基本教義派♥)[Date]Thu Apr 23 19-29-10 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 85: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 楊又穎身邊的人請出來認罪[Author]BossHsu (BOSS HSU)[Date]Fri Apr 24 13-48-32 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 楽しいでしょ的八卦-[Author]anecam (命どぅ宝)[Date]Sun Jul 12 12-46-16 2015.txt[reson]'cp950' codec can't encode character u'\u697d' in position 56: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 楽しいでしょ的八卦-[Author]driftingjong (長空浪子雁)[Date]Sun Jul 12 11-55-34 2015.txt[reson]'cp950' codec can't encode character u'\u697d' in position 56: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 楽しいでしょ的八卦-[Author]jeanvanjohn (尚市長)[Date]Sun Jul 12 07-32-55 2015.txt[reson]'cp950' codec can't encode character u'\u697d' in position 56: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 楽しいでしょ的八卦-[Author]Judicial5566 (小樓昨夜又東風)[Date]Sun Jul 12 11-46-09 2015.txt[reson]'cp950' codec can't encode character u'\u697d' in position 56: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 楽しいでしょ的八卦-[Author]skyhigh5566 (墮落天師)[Date]Sun Jul 12 12-19-19 2015.txt[reson]'cp950' codec can't encode character u'\u697d' in position 56: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼不良少年常會參加廟方活動-[Author]izna (進攻北極)[Date]Sat Apr 18 11-45-54 2015.txt[reson]list index out of range
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼八卦版大家都要反串魯蛇肥宅[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Fri Apr 24 13-20-26 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 103: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼回教要叫伊斯蘭教[Author]jackysai (ジャッキー)[Date]Mon Apr 27 23-48-24 2015.txt[reson]'cp950' codec can't encode character u'\u30fc' in position 89: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼女生發文會比較吃香-[Author]lovechen239 (希望之星總召－乳肥宅♥)[Date]Mon Jul 13 22-39-07 2015.txt[reson]'cp950' codec can't encode character u'\u2665' in position 100: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼媽祖會保佑黑道？[Author]KingKingCold (お元気ですか-私元気です)[Date]Sun Apr 19 21-39-05 2015.txt[reson]'cp950' codec can't encode character u'\u6c17' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼我們大眾的科普常識普遍不好[Author]Greatgenius (雷達 X 守望)[Date]Sun Jun 28 14-40-15 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼日本一定要把英文翻成片假名[Author]anecam (命どぅ宝)[Date]Mon Apr 27 10-58-42 2015.txt[reson]'cp950' codec can't encode character u'\u5b9d' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼日本一定要把英文翻成片假名[Author]sixpoint (　ﾟдﾟ)ノ☆( #)д`)[Date]Mon Apr 27 08-27-54 2015.txt[reson]'cp950' codec can't encode character u'\uff9f' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼日本男生型男的比例臺男高-[Author]anecam (命どぅ宝)[Date]Fri Apr 17 21-35-24 2015.txt[reson]'cp950' codec can't encode character u'\u5b9d' in position 91: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為什麼要笑炎亞綸？無知識錯了嗎？[Author]sg8888sgsg (゜ω゜)っ✂╰ひ╯)[Date]Tue Apr 21 12-36-54 2015.txt[reson]'cp950' codec can't encode character u'\u309c' in position 92: illegal multibyte sequence
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 為何古典音樂現在還是很多人聽[Author]lpy1810 (歪了就喬好)[Date]Thu Apr 23 04-26-39 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 燙傷療程要花多少錢-[Author]micky5521 (昏跪)[Date]Sun Jun 28 09-29-25 2015.txt[reson]time data u'2015/' does not match format '%Y/%m/%d %H:%M'
[update lost]E:\ptt_all_data\01.ptt_old\[Title]Re- [問卦] 爐石戰記[Author]MadeInChina (中國製造™)[Date]Thu Apr 23 22-11-52 2015.txt[reson]'cp950' codec can't encode character u'\u2122' in position 85: illegal multibyte sequence
